Episode,Score,AvgScore
1,-104.8152,-104.8152
2,-67.1530,-85.9841
3,-99.6920,-90.5534
4,-111.2664,-95.7316
5,31.8354,-70.2182
6,-52.5100,-67.2669
7,-48.5976,-64.5998
8,-122.9614,-71.8950
9,-83.6870,-73.2052
10,-194.3323,-85.3179
11,-111.1195,-87.6635
12,-107.0425,-89.2784
13,-87.7241,-89.1589
14,-92.6271,-89.4066
15,-144.8643,-93.1038
16,-170.8221,-97.9612
17,-158.7648,-101.5379
18,-86.1448,-100.6827
19,-141.0037,-102.8049
20,-104.6681,-102.8980
21,-114.3100,-103.4414
22,-109.5729,-103.7201
23,-154.7441,-105.9386
24,-67.7520,-104.3475
25,-129.3369,-105.3471
26,-111.0274,-105.5655
27,-124.6546,-106.2725
28,-46.3284,-104.1317
29,-45.1956,-102.0994
30,-86.0392,-101.5640
31,-109.9323,-101.8340
32,-62.3443,-100.5999
33,-126.9541,-101.3986
34,-119.1990,-101.9221
35,-132.7670,-102.8034
36,-115.7225,-103.1622
37,-107.3216,-103.2747
38,-103.6426,-103.2843
39,43.4200,-99.5227
40,-51.7814,-98.3292
41,-69.8711,-97.6351
42,-67.2730,-96.9122
43,-105.1014,-97.1026
44,-119.4004,-97.6094
45,-91.6640,-97.4773
46,-93.6205,-97.3934
47,-134.8414,-98.1902
48,-70.9402,-97.6225
49,-93.1699,-97.5316
50,-84.9403,-97.2798
51,-110.5413,-97.5398
52,-118.4329,-97.9416
53,-71.6226,-97.4450
54,-88.1649,-97.2732
55,-83.9125,-97.0302
56,-91.1796,-96.9258
57,-116.4870,-97.2689
58,-99.8366,-97.3132
59,-98.5123,-97.3335
60,-75.7154,-96.9732
61,-100.6135,-97.0329
62,-90.5527,-96.9284
63,-80.3501,-96.6652
64,-72.6219,-96.2896
65,-113.6544,-96.5567
66,-35.5132,-95.6318
67,-106.3480,-95.7918
68,-118.9039,-96.1316
69,-142.6911,-96.8064
70,-130.5879,-97.2890
71,-79.4395,-97.0376
72,-124.9702,-97.4256
73,-51.7378,-96.7997
74,-95.5184,-96.7824
75,-121.9658,-97.1182
76,-126.4891,-97.5046
77,-64.5070,-97.0761
78,-53.4299,-96.5165
79,-65.5410,-96.1244
80,-72.4607,-95.8286
81,-112.2171,-96.0310
82,-89.0923,-95.9463
83,-61.9780,-95.5371
84,-71.1885,-95.2472
85,-124.6105,-95.5927
86,-77.3521,-95.3806
87,-33.3930,-94.6681
88,-105.4840,-94.7910
89,-107.3115,-94.9317
90,-107.3239,-95.0693
91,-179.4768,-95.9969
92,-78.4511,-95.8062
93,-63.9709,-95.4639
94,-43.8611,-94.9149
95,-36.7835,-94.3030
96,-87.5085,-94.2322
97,-296.8846,-96.3214
98,-108.5808,-96.4465
99,-95.6174,-96.4381
100,-135.2205,-96.8260
101,-224.1274,-98.0864
102,-117.8263,-98.2799
103,-92.1533,-98.2204
104,-73.1485,-97.9793
105,-85.9550,-97.8648
106,-101.2368,-97.8966
107,-44.1659,-97.3945
108,-84.9283,-97.2791
109,-61.2183,-96.9482
110,-44.9190,-96.4752
111,-124.5100,-96.7278
112,-148.8857,-97.1935
113,-140.3921,-97.5758
114,-105.7163,-97.6472
115,-67.6924,-97.3867
116,-105.7745,-97.4590
117,-133.2350,-97.7648
118,-89.0156,-97.6906
119,-81.5943,-97.5554
120,-170.4526,-98.1629
121,-195.2983,-98.9656
122,-160.5053,-99.4701
123,-84.5209,-99.3485
124,-97.1174,-99.3305
125,-49.0202,-98.9280
126,-68.6906,-98.6881
127,-143.7864,-99.0432
128,-89.3901,-98.9678
129,-106.6586,-99.0274
130,-67.9841,-98.7886
131,-101.1078,-98.8063
132,-124.1479,-98.9983
133,-81.1588,-98.8641
134,-148.1491,-99.2319
135,-89.7181,-99.1615
136,-114.4436,-99.2738
137,-67.7831,-99.0440
138,-91.4483,-98.9889
139,-87.6250,-98.9072
140,-79.0846,-98.7656
141,-58.5690,-98.4805
142,-54.7004,-98.1722
143,-113.7719,-98.2813
144,-94.8597,-98.2575
145,-116.4827,-98.3832
146,-84.8951,-98.2908
147,-153.0432,-98.6633
148,-60.7399,-98.4071
149,-80.2514,-98.2852
150,-28.1198,-97.8174
151,-77.8985,-97.6855
152,-72.0363,-97.5168
153,-111.7389,-97.6097
154,-96.9114,-97.6052
155,-111.7722,-97.6966
156,-143.6500,-97.9912
157,-62.3567,-97.7642
158,-75.2788,-97.6219
159,-90.9159,-97.5797
160,-117.9493,-97.7070
161,-96.3726,-97.6987
162,-217.9158,-98.4408
163,-97.6822,-98.4362
164,-24.9517,-97.9881
165,-122.2636,-98.1352
166,-86.9192,-98.0676
167,-47.3287,-97.7638
168,-73.0337,-97.6166
169,-122.6510,-97.7647
170,-149.9652,-98.0718
171,-60.7782,-97.8537
172,-139.0011,-98.0929
173,-86.3986,-98.0253
174,-96.5756,-98.0170
175,-71.4971,-97.8655
176,-93.9324,-97.8431
177,-110.5300,-97.9148
178,-157.9985,-98.2523
179,-78.9024,-98.1442
180,-97.6585,-98.1415
181,-68.7876,-97.9794
182,-82.6584,-97.8952
183,-55.7042,-97.6646
184,-71.2373,-97.5210
185,-68.9585,-97.3666
186,-139.6046,-97.5937
187,-66.0608,-97.4251
188,-116.5933,-97.5270
189,-34.0933,-97.1914
190,-116.5018,-97.2930
191,-129.6041,-97.4622
192,-37.4827,-97.1498
193,-108.6035,-97.2092
194,-71.4469,-97.0764
195,-65.6348,-96.9151
196,-109.7475,-96.9806
197,-117.6423,-97.0855
198,-100.4921,-97.1027
199,-103.1599,-97.1331
200,-107.3970,-97.1844
201,-94.4040,-97.1706
202,-44.3385,-96.9091
203,-93.9439,-96.8945
204,-137.6415,-97.0942
205,-123.8825,-97.2249
206,-157.7301,-97.5186
207,-118.2099,-97.6186
208,-126.3180,-97.7565
209,-90.8738,-97.7236
210,-144.5717,-97.9467
211,-99.5794,-97.9544
212,-49.4056,-97.7254
213,-100.7211,-97.7395
214,-108.1201,-97.7880
215,-58.1264,-97.6035
216,-170.7125,-97.9420
217,-1.3032,-97.4966
218,-251.2374,-98.2019
219,-121.9122,-98.3101
220,-119.0553,-98.4044
221,-59.0800,-98.2265
222,-65.7311,-98.0801
223,-91.0456,-98.0486
224,-106.9940,-98.0885
225,-107.5173,-98.1304
226,-100.0734,-98.1390
227,-45.9371,-97.9091
228,-106.6115,-97.9472
229,-137.9297,-98.1218
230,-95.2367,-98.1093
231,-142.6399,-98.3020
232,-103.6217,-98.3250
233,-125.5939,-98.4420
234,-87.3385,-98.3946
