Episode,Score,AvgScore
1,-142.8979,-142.8979
2,-111.0111,-126.9545
3,-106.1122,-120.0071
4,-65.4710,-106.3730
5,-80.4298,-101.1844
6,-57.7998,-93.9536
7,-68.1877,-90.2728
8,-135.8718,-95.9726
9,-95.0384,-95.8688
10,-134.5662,-99.7386
11,-44.7847,-94.7428
12,-123.5616,-97.1443
13,-112.4507,-98.3218
14,-100.2084,-98.4565
15,-123.9856,-100.1585
16,-158.3631,-103.7962
17,-176.6327,-108.0807
18,-96.3750,-107.4304
19,-93.3442,-106.6890
20,-115.5039,-107.1298
21,-99.9584,-106.7883
22,-111.6191,-107.0079
23,-125.2256,-107.7999
24,-96.3860,-107.3244
25,-60.6648,-105.4580
26,-120.3093,-106.0292
27,-53.3050,-104.0764
28,-81.1663,-103.2582
29,-62.4062,-101.8495
30,-90.7222,-101.4786
31,-127.8235,-102.3285
32,-230.7267,-106.3409
33,-130.3186,-107.0675
34,-93.2915,-106.6623
35,-84.8465,-106.0390
36,-106.5147,-106.0522
37,-144.1373,-107.0816
38,-122.3655,-107.4838
39,-113.1437,-107.6289
40,-98.5520,-107.4020
41,-97.4588,-107.1594
42,-272.3122,-111.0917
43,-266.0802,-114.6960
44,-104.3056,-114.4599
45,-85.7385,-113.8216
46,-67.3113,-112.8105
47,-102.6511,-112.5944
48,-83.6841,-111.9921
49,-64.9019,-111.0311
50,-92.9883,-110.6702
51,-61.1774,-109.6998
52,-109.2241,-109.6906
53,-179.8867,-111.0151
54,-92.6407,-110.6748
55,-72.3134,-109.9773
56,-66.0043,-109.1921
57,-57.0345,-108.2770
58,-134.8047,-108.7344
59,-89.6396,-108.4108
60,-127.3110,-108.7258
61,-89.3180,-108.4076
62,-104.0923,-108.3380
63,-118.2302,-108.4950
64,-53.7854,-107.6402
65,-108.6927,-107.6564
66,-154.4276,-108.3650
67,-155.3656,-109.0665
68,-90.9236,-108.7997
69,-136.0382,-109.1945
70,-98.2555,-109.0382
71,-104.6429,-108.9763
72,-126.3506,-109.2176
73,-67.9165,-108.6519
74,-61.8053,-108.0188
75,-150.4380,-108.5844
76,-84.5582,-108.2683
77,-72.8782,-107.8086
78,-91.9945,-107.6059
79,-87.7547,-107.3546
80,-87.5931,-107.1076
81,-85.1613,-106.8367
82,-107.5244,-106.8450
83,-183.4037,-107.7674
84,-74.7268,-107.3741
85,-75.6301,-107.0006
86,-89.9203,-106.8020
87,-36.8565,-105.9981
88,-103.2654,-105.9670
89,-126.4993,-106.1977
90,-25.7809,-105.3042
91,-129.9778,-105.5753
92,-130.3295,-105.8444
93,-213.5793,-107.0028
94,-37.3076,-106.2614
95,-92.3854,-106.1153
96,-81.5988,-105.8599
97,-120.8649,-106.0146
98,-217.1177,-107.1483
99,-115.6696,-107.2344
100,-126.0117,-107.4222
101,-55.8758,-106.9118
102,-102.3218,-106.8668
103,-103.0006,-106.8293
104,-75.8535,-106.5314
105,-120.0819,-106.6605
106,-68.7947,-106.3033
107,-97.6795,-106.2227
108,-115.1185,-106.3050
109,-98.4031,-106.2326
110,-129.7755,-106.4466
111,-89.8684,-106.2972
112,-78.0200,-106.0448
113,-79.1056,-105.8064
114,-119.2938,-105.9247
115,-100.4436,-105.8770
116,-67.2780,-105.5443
117,-98.1551,-105.4811
118,-143.3663,-105.8022
119,-78.2280,-105.5704
120,-53.1165,-105.1333
121,-93.6953,-105.0388
122,52.4674,-103.7478
123,-95.8913,-103.6839
124,-73.7864,-103.4428
125,-130.3300,-103.6579
126,-83.4533,-103.4975
127,-97.7823,-103.4525
128,-67.6245,-103.1726
129,-99.9243,-103.1474
130,-72.4889,-102.9116
131,-70.6452,-102.6653
132,-110.6142,-102.7255
133,-96.7290,-102.6804
134,-96.3444,-102.6331
135,-81.9166,-102.4797
136,-73.1196,-102.2638
137,-71.1162,-102.0364
138,-111.0668,-102.1019
139,-79.5753,-101.9398
140,-97.1869,-101.9059
141,-82.1763,-101.7659
142,-89.7174,-101.6811
143,-100.1440,-101.6703
144,-95.8492,-101.6299
145,-112.0930,-101.7021
146,-107.4282,-101.7413
147,-86.2559,-101.6360
148,-78.0665,-101.4767
149,-50.0615,-101.1316
150,-20.4859,-100.5940
151,-115.4369,-100.6923
152,-166.2629,-101.1237
153,-119.7119,-101.2452
154,-106.3902,-101.2786
155,-124.3643,-101.4275
156,-80.4050,-101.2928
157,-69.4709,-101.0901
158,-127.0374,-101.2543
159,-63.6383,-101.0177
160,-91.1760,-100.9562
161,-104.0660,-100.9755
162,-96.8070,-100.9498
163,-72.0741,-100.7726
164,-83.2063,-100.6655
165,-84.1323,-100.5653
166,-177.9252,-101.0314
167,-85.4152,-100.9378
168,-81.3849,-100.8215
169,-88.9772,-100.7514
170,-122.9814,-100.8821
171,-129.4683,-101.0493
172,-52.6246,-100.7678
