Episode,Score,AvgScore
1,-81.5394,-81.5394
2,-58.0436,-69.7915
3,-115.2409,-84.9413
4,-107.1685,-90.4981
5,-86.2630,-89.6511
6,-131.7982,-96.6756
7,-150.2985,-104.3360
8,-82.8596,-101.6515
9,-57.6626,-96.7638
10,-120.3188,-99.1193
11,-91.7767,-98.4518
12,-119.7741,-100.2286
13,-148.9709,-103.9781
14,-273.4889,-116.0860
15,-151.8287,-118.4688
16,-92.7187,-116.8594
17,-93.1455,-115.4645
18,-51.7684,-111.9258
19,-97.8334,-111.1841
20,-99.2015,-110.5850
21,-30.3270,-106.7632
22,-236.9948,-112.6828
23,-93.4621,-111.8471
24,-113.8930,-111.9324
25,-101.8546,-111.5292
26,-83.3846,-110.4468
27,-47.7837,-108.1259
28,-68.0439,-106.6944
29,-155.2259,-108.3679
30,-128.2615,-109.0310
31,-87.2871,-108.3296
32,-94.6535,-107.9022
33,-103.5092,-107.7691
34,-138.5881,-108.6756
35,-80.8593,-107.8808
36,-111.6189,-107.9846
37,-78.8953,-107.1984
38,-104.3638,-107.1238
39,-84.1242,-106.5341
40,-54.3771,-105.2302
41,-119.4769,-105.5777
42,-115.8255,-105.8217
43,-100.3021,-105.6933
44,-59.6620,-104.6471
45,-97.8898,-104.4970
46,-99.7766,-104.3944
47,-92.8166,-104.1480
48,-104.8139,-104.1619
49,-52.0867,-103.0991
50,-66.3656,-102.3645
51,-113.7977,-102.5886
52,-88.1015,-102.3100
53,-279.5930,-105.6550
54,-104.6757,-105.6369
55,-89.5605,-105.3446
56,-81.8255,-104.9246
57,-129.7673,-105.3604
58,-61.8559,-104.6103
59,-205.5351,-106.3209
60,-84.6486,-105.9597
61,-91.1677,-105.7172
62,-104.3630,-105.6954
63,-99.9596,-105.6043
64,-92.2437,-105.3956
65,-105.9331,-105.4039
66,-86.8789,-105.1232
67,-94.9583,-104.9715
68,-106.9545,-105.0006
69,-98.7203,-104.9096
70,-216.0201,-106.4969
71,-108.7490,-106.5286
72,-72.4872,-106.0558
73,-122.1197,-106.2759
74,-89.9597,-106.0554
75,-101.5102,-105.9948
76,-74.5799,-105.5814
77,-31.8650,-104.6241
78,-76.4559,-104.2629
79,-137.5529,-104.6843
80,-79.5606,-104.3703
81,-95.4644,-104.2603
82,-112.5703,-104.3617
83,-43.7378,-103.6313
84,-107.4644,-103.6769
85,-116.0865,-103.8229
86,-107.0671,-103.8606
